,date,value,Next,Class
0,2022-09-16,63171.03,63457.97,1
1,2022-09-19,63457.97,63278.43,0
2,2022-09-20,63278.43,63141.54,0
3,2022-09-21,63141.54,63655.96,1
4,2022-09-22,63655.96,63241.55,0
5,2022-09-23,63241.55,62768.42,0
6,2022-09-26,62768.42,62979.6,1
7,2022-09-27,62979.6,62350.57,0
8,2022-09-28,62350.57,62235.41,0
9,2022-09-29,62235.41,62338.87,1
10,2022-09-30,62338.87,62193.52,0
11,2022-10-03,62193.52,62634.46,1
12,2022-10-04,62634.46,62486.04,0
13,2022-10-05,62486.04,62522.13,1
14,2022-10-06,62522.13,62053.52,0
15,2022-10-07,62053.52,61732.53,0
16,2022-10-10,61732.53,61366.59,0
17,2022-10-11,61366.59,61283.27,0
18,2022-10-12,61283.27,61108.74,0
19,2022-10-13,61108.74,60503.63,0
20,2022-10-14,60503.63,60723.19,1
21,2022-10-17,60723.19,60795.54,1
22,2022-10-18,60795.54,61072.1,1
23,2022-10-19,61072.1,62616.09,1
24,2022-10-20,62616.09,62535.29,0
25,2022-10-21,62535.29,62643.49,1
26,2022-10-24,62643.49,62696.63,1
27,2022-10-25,62696.63,62645.63,0
28,2022-10-26,62645.63,63130.6,1
29,2022-10-27,63130.6,63081.32,0
30,2022-10-28,63081.32,63443.5,1
31,2022-10-31,63443.5,62875.6,0
32,2022-11-01,62875.6,62513.49,0
33,2022-11-02,62513.49,62513.27,0
34,2022-11-03,62513.27,62747.64,1
35,2022-11-04,62747.64,63401.24,1
36,2022-11-07,63401.24,62768.53,0
37,2022-11-08,62768.53,62908.24,1
38,2022-11-09,62908.24,62240.07,0
39,2022-11-10,62240.07,63125.62,1
40,2022-11-11,63125.62,62574.45,0
41,2022-11-14,62574.45,62860.85,1
42,2022-11-15,62860.85,62172.19,0
43,2022-11-16,62172.19,62221.23,1
44,2022-11-17,62221.23,62369.62,1
45,2022-11-18,62369.62,62175.25,0
46,2022-11-21,62175.25,62041.75,0
47,2022-11-22,62041.75,62437.01,1
48,2022-11-23,62437.01,63013.39,1
49,2022-11-24,63013.39,62685.41,0
50,2022-11-25,62685.41,62313.78,0
51,2022-11-28,62313.78,62385.33,1
52,2022-11-29,62385.33,63191.12,1
53,2022-11-30,63191.12,63189.48,0
54,2022-12-01,63189.48,63161.42,0
55,2022-12-02,63161.42,62851.66,0
56,2022-12-05,62851.66,62666.73,0
57,2022-12-06,62666.73,61862.17,0
58,2022-12-07,61862.17,62022.76,1
59,2022-12-08,62022.76,61547.01,0
60,2022-12-09,61547.01,61550.62,1
61,2022-12-12,61550.62,62084.01,1
62,2022-12-13,62084.01,62102.78,1
63,2022-12-14,62102.78,61573.35,0
64,2022-12-15,61573.35,61942.0,1
65,2022-12-16,61942.0,,0
