,date,value,next_value,class
0,2022-09-16,1599.128,1599.6012,1
1,2022-09-19,1599.6012,1599.759,1
2,2022-09-20,1599.759,1599.9168,1
3,2022-09-21,1599.9168,1600.0746,1
4,2022-09-22,1600.0746,1600.2324,1
5,2022-09-23,1600.2324,1600.7059,1
6,2022-09-26,1600.7059,1600.8638,1
7,2022-09-27,1600.8638,1601.0217,1
8,2022-09-28,1601.0217,1601.1796,1
9,2022-09-29,1601.1796,1601.3375,1
10,2022-09-30,1601.3375,1601.8113,1
11,2022-10-03,1601.8113,1601.9693,1
12,2022-10-04,1601.9693,1602.1273,1
13,2022-10-05,1602.1273,1602.2853,1
14,2022-10-06,1602.2853,1602.4433,1
15,2022-10-07,1602.4433,1602.9174,1
16,2022-10-10,1602.9174,1603.0755,1
17,2022-10-11,1603.0755,1603.2336,1
18,2022-10-12,1603.2336,1603.3917,1
19,2022-10-13,1603.3917,1603.5498,1
20,2022-10-14,1603.5498,1604.0243,1
21,2022-10-17,1604.0243,1604.1825,1
22,2022-10-18,1604.1825,1604.3407,1
23,2022-10-19,1604.3407,1604.4989,1
24,2022-10-20,1604.4989,1604.6572,1
25,2022-10-21,1604.6572,1605.132,1
26,2022-10-24,1605.132,1605.2903,1
27,2022-10-25,1605.2903,1605.4486,1
28,2022-10-26,1605.4486,1605.6069,1
29,2022-10-27,1605.6069,1605.7653,1
30,2022-10-28,1605.7653,1606.2404,1
31,2022-10-31,1606.2404,1606.3988,1
32,2022-11-01,1606.3988,1606.5572,1
33,2022-11-02,1606.5572,1606.7157,1
34,2022-11-03,1606.7157,1606.8742,1
35,2022-11-04,1606.8742,1607.3497,1
36,2022-11-07,1607.3497,1607.5082,1
37,2022-11-08,1607.5082,1607.6667,1
38,2022-11-09,1607.6667,1607.8253,1
39,2022-11-10,1607.8253,1607.9839,1
40,2022-11-11,1607.9839,1608.4597,1
41,2022-11-14,1608.4597,1608.6183,1
42,2022-11-15,1608.6183,1608.777,1
43,2022-11-16,1608.777,1608.9357,1
44,2022-11-17,1608.9357,1609.0944,1
45,2022-11-18,1609.0944,1609.5705,1
46,2022-11-21,1609.5705,1609.7293,1
47,2022-11-22,1609.7293,1609.8881,1
48,2022-11-23,1609.8881,1610.0469,1
49,2022-11-24,1610.0469,1610.2057,1
50,2022-11-25,1610.2057,1610.6821,1
51,2022-11-28,1610.6821,1610.841,1
52,2022-11-29,1610.841,1610.9999,1
53,2022-11-30,1610.9999,1611.1588,1
54,2022-12-01,1611.1588,1611.3177,1
55,2022-12-02,1611.3177,1611.821,1
56,2022-12-05,1611.821,1611.9888,1
57,2022-12-06,1611.9888,1612.1566,1
58,2022-12-07,1612.1566,1612.3244,1
59,2022-12-08,1612.3244,1612.4923,1
60,2022-12-09,1612.4923,1612.9959,1
61,2022-12-12,1612.9959,1613.1638,1
62,2022-12-13,1613.1638,1613.3317,1
63,2022-12-14,1613.3317,1613.4997,1
64,2022-12-15,1613.4997,1613.6677,1
65,2022-12-16,1613.6677,,0
