,date,Present,Next,Class
0,2022-09-16,2883.51,2884.2,1
1,2022-09-19,2884.2,2885.51,1
2,2022-09-20,2885.51,2883.12,0
3,2022-09-21,2883.12,2878.81,0
4,2022-09-22,2878.81,2871.94,0
5,2022-09-23,2871.94,2865.19,0
6,2022-09-26,2865.19,2863.01,0
7,2022-09-27,2863.01,2811.43,0
8,2022-09-28,2811.43,2814.61,1
9,2022-09-29,2814.61,2812.76,0
10,2022-09-30,2812.76,2816.16,1
11,2022-10-03,2816.16,2821.31,1
12,2022-10-04,2821.31,2828.5,1
13,2022-10-05,2828.5,2826.87,0
14,2022-10-06,2826.87,2823.69,0
15,2022-10-07,2823.69,2822.44,0
16,2022-10-10,2822.44,2818.55,0
17,2022-10-11,2818.55,2818.07,0
18,2022-10-12,2818.07,2819.13,1
19,2022-10-13,2819.13,2817.42,0
20,2022-10-14,2817.42,2811.91,0
21,2022-10-17,2811.91,2811.95,1
22,2022-10-18,2811.95,2809.09,0
23,2022-10-19,2809.09,2803.86,0
24,2022-10-20,2803.86,2792.43,0
25,2022-10-21,2792.43,2791.61,0
26,2022-10-24,2791.61,2789.15,0
27,2022-10-25,2789.15,2788.59,0
28,2022-10-26,2788.59,2793.11,1
29,2022-10-27,2793.11,2796.29,1
30,2022-10-28,2796.29,2796.48,1
31,2022-10-31,2796.48,2801.57,1
32,2022-11-01,2801.57,2809.91,1
33,2022-11-02,2809.91,2807.8,0
34,2022-11-03,2807.8,2803.66,0
35,2022-11-04,2803.66,2805.99,1
36,2022-11-07,2805.99,2807.56,1
37,2022-11-08,2807.56,2812.93,1
38,2022-11-09,2812.93,2816.66,1
39,2022-11-10,2816.66,2828.65,1
40,2022-11-11,2828.65,2837.26,1
41,2022-11-14,2837.26,2844.76,1
42,2022-11-15,2844.76,2847.86,1
43,2022-11-16,2847.86,2847.72,0
44,2022-11-17,2847.72,2847.52,0
45,2022-11-18,2847.52,2847.12,0
46,2022-11-21,2847.12,2849.48,1
47,2022-11-22,2849.48,2857.0,1
48,2022-11-23,2857.0,2866.0,1
49,2022-11-24,2866.0,2867.92,1
50,2022-11-25,2867.92,2869.81,1
51,2022-11-28,2869.81,2872.34,1
52,2022-11-29,2872.34,2878.62,1
53,2022-11-30,2878.62,2890.16,1
54,2022-12-01,2890.16,2894.83,1
55,2022-12-02,2894.83,2890.49,0
56,2022-12-05,2890.49,2887.33,0
57,2022-12-06,2887.33,2883.11,0
58,2022-12-07,2883.11,2882.84,0
59,2022-12-08,2882.84,2885.02,1
60,2022-12-09,2885.02,2886.22,1
61,2022-12-12,2886.22,2885.9,0
62,2022-12-13,2885.9,2889.28,1
63,2022-12-14,2889.28,2889.53,1
64,2022-12-15,2889.53,2891.49,1
65,2022-12-16,2891.49,,0
