,Mutual_Funds,Predicted_NAV,Percentage,Label
0,Manulife Obligasi Negara Indonesia II Kelas A Clean,2715.0,0.05,1
1,Manulife Obligasi Unggulan Kelas A,2816.0,0.13,1
2,Sucorinvest Sharia Sukuk Funds Clean,1075.0,0.02,1
3,ABF Indonesia Bond Index Fund Clean,48222.0,0.05,1
4,Eastspring IDR Fixed Income Fund Kelas A Clean,1600.0,0.09,1
5,Eastspring Syariah Fixed Income Amanah Kelas A Clean,1366.0,0.05,1
6,Schroder Dana Mantap Plus II Clean,2892.0,0.02,1
7,Sucorinvest Stable Fund Clean,1243.0,0.07,1
8,Batavia Dana Obligasi Ultima,2858.0,-0.01,0
9,Danamas_Stabil Clean,4297.0,0.03,1
