,saham,predict_value,percentage,label
0,MDKA,4377.0,-0.07,0
1,PNLF,463.0,3.35,1
2,BBRI,4771.0,-0.6,0
3,MYOR,2486.0,-0.56,0
4,UNTR,26903.0,2.98,1
5,ENRG,300.0,1.35,1
6,ADRO,3699.0,0.52,1
7,TLKM,3756.0,2.9,1
8,MNCN,752.0,1.62,1
9,BBCA,8586.0,0.13,1
10,ECII,487.0,0.62,1
11,PNBN,1832.0,4.69,1
12,MFIN,1703.0,0.18,1
13,PGAS,1807.0,0.39,1
14,HOKI,112.0,5.66,1
15,MCAS,9034.0,1.51,1
16,KLBF,2121.0,-0.42,0
17,BMRI,9946.0,0.21,1
18,SCCO,8499.0,0.28,1
19,SMGR,7017.0,0.96,1
20,ASII,5824.0,2.63,1
21,GOTO,125.0,34.41,1
22,MAPI,1407.0,-1.26,0
23,CSMI,3150.0,0.0,1
24,MYOH,1599.0,0.25,1
25,MLBI,9057.0,0.08,1
26,MEDC,1078.0,0.28,1
27,AMRT,2513.0,0.52,1
28,BBNI,9512.0,-0.4,0
29,KBLI,296.0,0.68,1
30,ENAK,1849.0,1.04,1
31,EXCL,2127.0,2.75,1
32,TOWR,1117.0,0.63,1
33,BUMI,172.0,0.0,1
34,BBTN,1387.0,1.99,1
35,INCO,7241.0,-0.12,0
36,ICBP,10077.0,-0.72,0
