,Unnamed: 0,id,date,value,Next ,Class
0,0,3820581,2022-09-16,922.75,930.37,1
1,1,3822000,2022-09-19,930.37,934.02,1
2,2,3823029,2022-09-20,934.02,933.98,0
3,3,3824577,2022-09-21,933.98,937.71,1
4,4,3826183,2022-09-22,937.71,929.9,0
5,5,3827750,2022-09-23,929.9,925.76,0
6,6,3829234,2022-09-26,925.76,922.64,0
7,7,3830842,2022-09-27,922.64,919.89,0
8,8,3832311,2022-09-28,919.89,915.52,0
9,9,3833770,2022-09-29,915.52,917.37,1
10,10,3835973,2022-09-30,917.37,912.68,0
11,11,3836840,2022-10-03,912.68,919.78,1
12,12,3838435,2022-10-04,919.78,918.03,0
13,13,3839912,2022-10-05,918.03,917.54,0
14,14,3841956,2022-10-06,917.54,907.32,0
15,15,3843449,2022-10-07,907.32,904.07,0
16,16,3845219,2022-10-10,904.07,895.81,0
17,17,3846087,2022-10-11,895.81,892.69,0
18,18,3848485,2022-10-12,892.69,886.05,0
19,19,3849247,2022-10-13,886.05,874.79,0
20,20,3850720,2022-10-14,874.79,880.38,1
21,21,3852551,2022-10-17,880.38,876.96,0
22,22,3853700,2022-10-18,876.96,880.61,1
23,23,3855250,2022-10-19,880.61,898.75,1
24,24,3857430,2022-10-20,898.75,904.57,1
25,25,3858944,2022-10-21,904.57,909.95,1
26,26,3860350,2022-10-24,909.95,909.54,0
27,27,3861648,2022-10-25,909.54,908.14,0
28,28,3862801,2022-10-26,908.14,914.78,1
29,29,3864445,2022-10-27,914.78,911.38,0
30,30,3865988,2022-10-28,911.38,914.92,1
31,31,3867690,2022-10-31,914.92,908.66,0
32,32,3869254,2022-11-01,908.66,902.53,0
33,33,3870900,2022-11-02,902.53,904.69,1
34,34,3872575,2022-11-03,904.69,908.68,1
35,35,3873381,2022-11-04,908.68,917.46,1
36,36,3875473,2022-11-07,917.46,908.02,0
37,37,3877072,2022-11-08,908.02,911.55,1
38,38,3877931,2022-11-09,911.55,895.38,0
39,39,3879487,2022-11-10,895.38,916.8,1
40,40,3880992,2022-11-11,916.8,904.31,0
41,41,3883086,2022-11-14,904.31,906.75,1
42,42,3885686,2022-11-15,906.75,903.78,0
43,43,3887860,2022-11-16,903.78,907.28,1
44,44,3888519,2022-11-17,907.28,911.71,1
45,45,3890727,2022-11-18,911.71,905.81,0
46,46,3892099,2022-11-21,905.81,899.99,0
47,47,3893699,2022-11-22,899.99,901.22,1
48,48,3895070,2022-11-23,901.22,905.79,1
49,49,3896678,2022-11-24,905.79,903.86,0
50,50,3898096,2022-11-25,903.86,897.19,0
51,51,3899705,2022-11-28,897.19,895.17,0
52,52,3901259,2022-11-29,895.17,905.0,1
53,53,3902522,2022-11-30,905.0,894.37,0
54,54,3903980,2022-12-01,894.37,888.98,0
55,55,3905666,2022-12-02,888.98,879.44,0
56,56,3907108,2022-12-05,879.44,862.66,0
57,57,3908391,2022-12-06,862.66,846.57,0
58,58,3909837,2022-12-07,846.57,846.77,1
59,59,3911322,2022-12-08,846.77,837.79,0
60,60,3913099,2022-12-09,837.79,841.41,1
61,61,3914160,2022-12-12,841.41,854.44,1
62,62,3915930,2022-12-13,854.44,852.94,0
63,63,3917305,2022-12-14,852.94,845.08,0
64,64,3918438,2022-12-15,845.08,853.78,1
65,65,3920140,2022-12-16,853.78,,0
