,Unnamed: 0,id,date,Present,Next,Class
0,0,3819629,2022-09-16,47097.3462,47112.6495,1
1,1,3821224,2022-09-19,47112.6495,47133.4123,1
2,2,3822820,2022-09-20,47133.4123,47091.0259,0
3,3,3824346,2022-09-21,47091.0259,47019.899,0
4,4,3825912,2022-09-22,47019.899,46897.0899,0
5,5,3827459,2022-09-23,46897.0899,46772.2184,0
6,6,3828857,2022-09-26,46772.2184,46737.3448,0
7,7,3830429,2022-09-27,46737.3448,46648.7078,0
8,8,3831930,2022-09-28,46648.7078,46690.6893,1
9,9,3833448,2022-09-29,46690.6893,46660.1107,0
10,10,3834980,2022-09-30,46660.1107,46717.6677,1
11,11,3836638,2022-10-03,46717.6677,46803.7619,1
12,12,3838211,2022-10-04,46803.7619,46943.6654,1
13,13,3839703,2022-10-05,46943.6654,46916.0975,0
14,14,3841790,2022-10-06,46916.0975,46861.294,0
15,15,3843280,2022-10-07,46861.294,46834.647,0
16,16,3844146,2022-10-10,46834.647,46768.5902,0
17,17,3845714,2022-10-11,46768.5902,46768.0692,0
18,18,3848091,2022-10-12,46768.0692,46778.1437,1
19,19,3848791,2022-10-13,46778.1437,46751.2387,0
20,20,3850302,2022-10-14,46751.2387,46662.0875,0
21,21,3852325,2022-10-17,46662.0875,46658.8764,0
22,22,3853446,2022-10-18,46658.8764,46610.8795,0
23,23,3854997,2022-10-19,46610.8795,46502.8535,0
24,24,3856457,2022-10-20,46502.8535,46300.5984,0
25,25,3857883,2022-10-21,46300.5984,46289.5823,0
26,26,3859398,2022-10-24,46289.5823,46241.0698,0
27,27,3860900,2022-10-25,46241.0698,46236.9835,0
28,28,3863280,2022-10-26,46236.9835,46313.9217,1
29,29,3864006,2022-10-27,46313.9217,46378.9422,1
30,30,3865524,2022-10-28,46378.9422,46390.0076,1
31,31,3866995,2022-10-31,46390.0076,46485.43,1
32,32,3868575,2022-11-01,46485.43,46645.669,1
33,33,3870082,2022-11-02,46645.669,46618.5203,0
34,34,3871602,2022-11-03,46618.5203,46550.4738,0
35,35,3873155,2022-11-04,46550.4738,46588.6612,1
36,36,3874768,2022-11-07,46588.6612,46611.4495,1
37,37,3876092,2022-11-08,46611.4495,46710.8492,1
38,38,3877616,2022-11-09,46710.8492,46784.0499,1
39,39,3879139,2022-11-10,46784.0499,46995.728,1
40,40,3880633,2022-11-11,46995.728,47147.6533,1
41,41,3882185,2022-11-14,47147.6533,47289.5386,1
42,42,3885337,2022-11-15,47289.5386,47353.8666,1
43,43,3886733,2022-11-16,47353.8666,47351.5767,0
44,44,3888281,2022-11-17,47351.5767,47354.4844,1
45,45,3889692,2022-11-18,47354.4844,47349.9119,0
46,46,3891089,2022-11-21,47349.9119,47394.3731,1
47,47,3892604,2022-11-22,47394.3731,47540.2156,1
48,48,3894099,2022-11-23,47540.2156,47711.5251,1
49,49,3895564,2022-11-24,47711.5251,47745.3155,1
50,50,3897056,2022-11-25,47745.3155,47783.3267,1
51,51,3898550,2022-11-28,47783.3267,47829.0159,1
52,52,3900063,2022-11-29,47829.0159,47949.4419,1
53,53,3901543,2022-11-30,47949.4419,48166.9798,1
54,54,3903029,2022-12-01,48166.9798,48248.4017,1
55,55,3904544,2022-12-02,48248.4017,48173.4928,0
56,56,3906466,2022-12-05,48173.4928,48104.3639,0
57,57,3907417,2022-12-06,48104.3639,48031.2721,0
58,58,3908891,2022-12-07,48031.2721,48032.8743,1
59,59,3910374,2022-12-08,48032.8743,48072.6018,1
60,60,3911868,2022-12-09,48072.6018,48098.21,1
61,61,3913394,2022-12-12,48098.21,48092.7711,0
62,62,3914855,2022-12-13,48092.7711,48153.4164,1
63,63,3916290,2022-12-14,48153.4164,48161.5664,1
64,64,3917749,2022-12-15,48161.5664,48199.3099,1
65,65,3919296,2022-12-16,48199.3099,,0
